id_daftarprodi,nama_daftarprodi
1,AGRIBISNIS PANGAN
2,AGROTEKNOLOGI
3,ARSITEK 
4,EKONOMI DAN BISNIS / AKUTANSI BISNIS DIGITAL
5,EKONOMI SYARIAH 
6,FISIKA
7,HORTIKULTURA
8,HUBUNGAN INTERNASIONAL 
9,HUKUM
10,HUKUM EKONOMI
11,HUKUM EKONOMI SYARI'AH
12,HUKUM KELUARGA
13,HUKUM KELUARGA ISLAM 
14,ILMU DAN INDUSTRI PETERNAKAN
15,ILMU PEMERINTAHAN 
16,KEHUTANAN
17,KOMUNIKASI DAN PENYIARAN ISLAM
18,MANAJEMEN
19,MANAJEMEN DAKWAH
20,MATEMATIKA
21,NUTRISI DAN TEKNOLOGI PAKAN TERNAK 
22,PENDIDIKAN AGAMA ISLAM
23,PENDIDIKAN BAHASA INGGRIS
24,PENDIDIKAN BIOLOGI
25,PENDIDIKAN FISIKA
26,PENDIDIKAN GURU
27,PENDIDIKAN MATEMATIKA 
28,PENDIDIKAN SENI MUSIK
29,PENGEMBANGAN MASYARAKAT ISLAM
30,PERBANKAN SYARIAH
31,PERENCANAAN WILAYAH DAN KOTA
32,PERJALANAN WISATA
33,PGSD
34,PPKN
35,PROTEKSI TANAMAN
36,PSIKOLOGI ISLAM
37,SISTEM INFORMASI
38,TADRIS MATEMATIKA 
39,TASAWUF DAN PSIKOTERAPI 
40,TEKNIK GEOFISIKA 
41,TEKNIK GEOMATIKA 
42,TEKNIK KIMIA
43,TEKNIK MATERIAL 
44,TEKNIK PERTAMBANGAN
45,TEKNIK PERTANIAN 
46,TEKNIK SIPIL 
47,TEKNIK TELEKOMUNIKASI
48,TEKNOLOGI PERBENIHAN
49,TEKNOLOGI PRODUKSI TANAMAN HORTIKULTURA
50,TELEKOMUNIKASI 
